teid,qfi,qid
62,6,6
35,6,6
50,6,6
19,6,6
11,6,6
81,6,6
82,6,6
86,6,6
59,6,6
40,6,6
42,6,6
24,6,6
84,6,6
80,6,6
20,6,6
90,9,7
85,1,0
36,3,2
81,9,7
74,3,2
30,5,1
79,3,2
58,3,2
41,4,4
2,5,1
6,2,5
45,3,2
23,3,2
16,5,1
19,5,1
93,5,1
62,5,1
17,2,5
78,1,0
59,1,0
30,3,2
75,9,7
59,3,2
98,2,5
65,7,3
42,1,0
44,3,2
85,5,1
60,3,2
97,9,7
35,4,4
92,5,1
7,5,1
10,5,1
86,3,2
7,3,2
40,3,2
49,1,0
95,5,1
32,7,3
23,7,3
74,5,1
80,1,0
99,3,2
70,5,1
36,5,1
14,1,0
6,1,0
98,3,2
15,3,2
13,5,1
45,1,0
100,1,0
16,1,0
66,3,2
1,1,0
14,3,2
82,2,5
95,1,0
89,3,2
35,9,7
24,7,3
68,9,7
11,5,1
13,3,2
80,3,2
3,3,2
4,2,5
15,2,5
65,1,0
31,7,3
12,5,1
87,1,0
38,9,7
75,2,5
58,5,1
96,7,3
18,3,2
73,3,2
45,4,4
67,3,2
100,7,3
84,2,5
97,1,0
11,3,2
29,2,5
27,3,2
9,3,2
10,7,3
81,1,0
2,3,2
92,1,0
48,2,5
96,1,0
40,5,1
93,2,5
14,5,1
66,7,3
68,5,1
66,7,7
2,2,5
9,1,0
47,2,5
42,3,2
57,1,0
58,1,0
72,3,2
53,7,3
92,2,5
46,3,2
54,2,5
99,2,5
70,8,7
77,1,0
56,5,1
29,7,3
26,2,5
27,9,7
63,7,3
94,2,5
100,2,5
46,5,1
25,7,3
53,2,5
66,1,0
87,2,5
33,2,5
38,2,5
37,1,0
79,4,4
89,2,5
71,2,5
73,1,0
27,1,0
26,5,1
50,5,1
67,5,1
51,7,3
69,5,1
83,2,5
91,1,0
88,1,0
64,7,3
72,7,3
5,7,3
70,7,3
39,1,0
43,7,3
63,1,0
52,1,0
71,7,3
41,2,5
38,1,0
75,1,0
32,7,7
32,2,5
22,7,3
49,7,3
46,2,5
61,9,7
69,2,5
34,9,7
44,7,3
69,1,0
91,7,3
48,7,3
7,7,3
19,7,3
74,9,7
64,4,4
89,4,4
10,7,7
95,4,4
29,5,1
60,4,4
49,7,7
67,4,4
47,9,7
90,5,1
48,9,7
35,4,7
61,5,1
13,9,7
87,2,7
94,4,4
63,7,7
94,2,7
43,7,7
32,2,7
21,4,4
3,4,4
28,9,7
78,9,7
23,8,7
20,8,7
87,4,4
88,9,7
21,9,7
54,4,4
50,9,7
19,7,7
47,4,4
52,9,7
78,8,7
70,7,7
100,2,7
52,4,4
56,4,4
100,7,7
22,4,4
64,7,7
93,4,4
4,4,4
54,2,7
46,2,7
25,7,7
98,3,7
47,2,7
34,4,4
31,9,7
84,8,7
99,4,4
23,7,7
5,4,4
65,7,7
90,4,4
55,4,4
71,7,7
92,2,7
88,4,4
18,4,4
32,9,7
4,2,7
99,2,7
64,9,7
3,3,7
82,2,7
17,2,7
53,7,7
98,2,7
5,7,7
76,9,7
97,4,4
69,2,7
42,3,7
2,2,7
51,7,7
83,2,7
91,7,7
7,7,7
44,3,7
53,2,7
26,2,7
62,9,7
